path,width,height,mode,format
..\data\raw\img10041_C.jpg,1080,1239,RGB,JPEG
..\data\raw\img10041_D.jpg,1813,1366,RGB,JPEG
..\data\raw\img10041_E.jpg,1813,1366,RGB,JPEG
..\data\raw\img10042_A.jpg,1794,1371,RGB,JPEG
..\data\raw\img10042_B.jpg,2369,908,RGB,JPEG
..\data\raw\img10042_B_2.jpg,1794,1371,RGB,JPEG
..\data\raw\img10042_C.jpg,1982,839,RGB,JPEG
..\data\raw\img10043_A.jpg,1720,1513,RGB,JPEG
..\data\raw\img10043_B.jpg,1718,1556,RGB,JPEG
..\data\raw\img10044_single.jpg,3589,1948,RGB,JPEG
..\data\raw\img10045_single.jpg,3588,2192,RGB,JPEG
..\data\raw\img10046_A.jpg,1717,1234,RGB,JPEG
..\data\raw\img10046_B.jpg,1716,1338,RGB,JPEG
..\data\raw\img10046_C.jpg,1716,1338,RGB,JPEG
..\data\raw\img10047_single.jpg,1720,1327,RGB,JPEG
..\data\raw\img10048_A.jpg,1715,1111,RGB,JPEG
..\data\raw\img10048_B.jpg,1714,643,RGB,JPEG
..\data\raw\img10048_C.jpg,1713,943,RGB,JPEG
..\data\raw\img10049_single.jpg,1716,691,RGB,JPEG
..\data\raw\img10049_single_2.jpg,1574,690,RGB,JPEG
..\data\raw\img1004_A.jpg,1280,933,RGB,JPEG
..\data\raw\img1004_B.jpg,1231,934,RGB,JPEG
..\data\raw\img10050_A.jpg,1262,866,RGB,JPEG
..\data\raw\img10050_B.jpg,1270,867,RGB,JPEG
..\data\raw\img10051_single.jpg,1584,1082,RGB,JPEG
..\data\raw\img10052_C.jpg,1260,836,RGB,JPEG
..\data\raw\img10053_C.jpg,1260,836,RGB,JPEG
..\data\raw\img10054_single.jpg,1577,1262,RGB,JPEG
..\data\raw\img10055_single.jpg,1583,1247,RGB,JPEG
..\data\raw\img10056_single.jpg,1583,1260,RGB,JPEG
..\data\raw\img10057_single.jpg,1583,1331,RGB,JPEG
..\data\raw\img10058_A.jpg,1249,1085,RGB,JPEG
..\data\raw\img10058_B.jpg,1268,1087,RGB,JPEG
..\data\raw\img10059_single.jpg,2566,1255,RGB,JPEG
..\data\raw\img1005_A.jpg,1263,853,RGB,JPEG
..\data\raw\img1005_B.jpg,1252,854,RGB,JPEG
..\data\raw\img10060_single.jpg,2567,1254,RGB,JPEG
..\data\raw\img10061_single.jpg,1661,1346,RGB,JPEG
..\data\raw\img10062_A.jpg,1154,1116,RGB,JPEG
..\data\raw\img10062_B.jpg,1166,1116,RGB,JPEG
..\data\raw\img10062_C.jpg,1155,1127,RGB,JPEG
..\data\raw\img10062_D.jpg,1154,1131,RGB,JPEG
..\data\raw\img10063_A.jpg,1156,1100,RGB,JPEG
..\data\raw\img10063_B.jpg,1169,1097,RGB,JPEG
..\data\raw\img10063_C.jpg,1139,1123,RGB,JPEG
..\data\raw\img10063_D.jpg,1150,1129,RGB,JPEG
..\data\raw\img10064_A.jpg,1166,742,RGB,JPEG
..\data\raw\img10064_B.jpg,1164,745,RGB,JPEG
..\data\raw\img10064_C.jpg,1160,749,RGB,JPEG
..\data\raw\img10064_D.jpg,1146,745,RGB,JPEG
..\data\raw\img10064_E.jpg,1164,768,RGB,JPEG
..\data\raw\img10064_F.jpg,1128,805,RGB,JPEG
..\data\raw\img10065_single.jpg,2763,1941,RGB,JPEG
..\data\raw\img10066_A.jpg,1108,713,RGB,JPEG
..\data\raw\img10066_B.jpg,1040,693,RGB,JPEG
..\data\raw\img10066_C.jpg,2096,689,RGB,JPEG
..\data\raw\img10066_C_2.jpg,1032,718,RGB,JPEG
..\data\raw\img10066_C_3.jpg,1068,683,RGB,JPEG
..\data\raw\img10066_D.jpg,1061,688,RGB,JPEG
..\data\raw\img10066_D_2.jpg,1018,693,RGB,JPEG
..\data\raw\img10066_E.jpg,1038,701,RGB,JPEG
..\data\raw\img10066_E_2.jpg,1052,706,RGB,JPEG
..\data\raw\img10066_G.jpg,995,704,RGB,JPEG
..\data\raw\img10066_G_2.jpg,1011,701,RGB,JPEG
..\data\raw\img10067_A.jpg,2244,705,RGB,JPEG
..\data\raw\img10067_B.jpg,2201,719,RGB,JPEG
..\data\raw\img10067_C.jpg,2183,719,RGB,JPEG
..\data\raw\img10067_D.jpg,2220,712,RGB,JPEG
..\data\raw\img10067_D_2.jpg,1079,705,RGB,JPEG
..\data\raw\img10067_E.jpg,1073,680,RGB,JPEG
..\data\raw\img10067_E_2.jpg,2216,714,RGB,JPEG
..\data\raw\img10068_A.jpg,1160,1148,RGB,JPEG
..\data\raw\img10068_B.jpg,1160,1149,RGB,JPEG
..\data\raw\img10068_C.jpg,1152,1142,RGB,JPEG
..\data\raw\img10068_D.jpg,1158,1149,RGB,JPEG
..\data\raw\img10069_A.jpg,1165,1147,RGB,JPEG
..\data\raw\img10069_B.jpg,1184,1145,RGB,JPEG
..\data\raw\img10069_C.jpg,1179,1158,RGB,JPEG
..\data\raw\img10069_D.jpg,1140,1173,RGB,JPEG
..\data\raw\img10069_E.jpg,655,804,RGB,JPEG
..\data\raw\img10069_F.jpg,1598,1109,RGB,JPEG
..\data\raw\img1006_A.jpg,737,700,RGB,JPEG
..\data\raw\img1006_B.jpg,751,700,RGB,JPEG
..\data\raw\img1006_C.jpg,754,706,RGB,JPEG
..\data\raw\img1006_D.jpg,726,724,RGB,JPEG
..\data\raw\img1006_E.jpg,740,723,RGB,JPEG
..\data\raw\img1006_F.jpg,748,727,RGB,JPEG
..\data\raw\img10070_A.jpg,1658,811,RGB,JPEG
..\data\raw\img10070_B.jpg,1660,841,RGB,JPEG
..\data\raw\img10070_C.jpg,1660,818,RGB,JPEG
..\data\raw\img10071_A.jpg,1399,1156,RGB,JPEG
..\data\raw\img10071_B.jpg,1114,1174,RGB,JPEG
..\data\raw\img10071_C.jpg,1161,1154,RGB,JPEG
..\data\raw\img10071_D.jpg,1128,1165,RGB,JPEG
..\data\raw\img10072_single.jpg,1662,1134,RGB,JPEG
..\data\raw\img10073_single.jpg,2370,1158,RGB,JPEG
..\data\raw\img10074_single.jpg,1661,1164,RGB,JPEG
..\data\raw\img10075_A.jpg,891,713,RGB,JPEG
..\data\raw\img10075_B.jpg,960,702,RGB,JPEG
..\data\raw\img10075_C.jpg,871,702,RGB,JPEG
..\data\raw\img10075_D.jpg,933,718,RGB,JPEG
..\data\raw\img10075_D_2.jpg,945,715,RGB,JPEG
..\data\raw\img10075_E.jpg,1141,723,RGB,JPEG
..\data\raw\img10075_E_2.jpg,1139,723,RGB,JPEG
..\data\raw\img10076_A.jpg,1026,740,RGB,JPEG
..\data\raw\img10076_B.jpg,870,741,RGB,JPEG
..\data\raw\img10076_C.jpg,1014,732,RGB,JPEG
..\data\raw\img10076_D.jpg,891,743,RGB,JPEG
..\data\raw\img10076_D_2.jpg,1033,752,RGB,JPEG
..\data\raw\img10076_D_3.jpg,870,741,RGB,JPEG
..\data\raw\img10076_D_4.jpg,1014,732,RGB,JPEG
..\data\raw\img10076_E.jpg,996,716,RGB,JPEG
..\data\raw\img10076_F.jpg,997,745,RGB,JPEG
..\data\raw\img10076_G.jpg,1005,718,RGB,JPEG
..\data\raw\img10076_G_2.jpg,890,718,RGB,JPEG
..\data\raw\img10076_G_3.jpg,1944,739,RGB,JPEG
..\data\raw\img10076_J.jpg,894,716,RGB,JPEG
..\data\raw\img10077_A.jpg,958,731,RGB,JPEG
..\data\raw\img10077_B.jpg,959,729,RGB,JPEG
..\data\raw\img10077_C.jpg,966,724,RGB,JPEG
..\data\raw\img10077_D.jpg,988,743,RGB,JPEG
..\data\raw\img10077_E.jpg,1166,755,RGB,JPEG
..\data\raw\img10078_A.jpg,2663,651,RGB,JPEG
..\data\raw\img10078_C.jpg,2655,549,RGB,JPEG
..\data\raw\img10078_D.jpg,2648,525,RGB,JPEG
..\data\raw\img10078_E.jpg,2650,526,RGB,JPEG
..\data\raw\img10079_A.jpg,1367,1044,RGB,JPEG
..\data\raw\img10079_B.jpg,1350,1046,RGB,JPEG
..\data\raw\img1007_A.jpg,835,869,RGB,JPEG
..\data\raw\img1007_B.jpg,893,863,RGB,JPEG
..\data\raw\img1007_C.jpg,818,864,RGB,JPEG
..\data\raw\img1007_E.jpg,951,803,RGB,JPEG
..\data\raw\img1007_E_2.jpg,810,800,RGB,JPEG
..\data\raw\img1007_F.jpg,1045,903,RGB,JPEG
..\data\raw\img1007_G.jpg,824,892,RGB,JPEG
..\data\raw\img10080_single.jpg,1662,1099,RGB,JPEG
..\data\raw\img10081_A.jpg,1860,1506,RGB,JPEG
..\data\raw\img10081_B.jpg,990,1491,RGB,JPEG
..\data\raw\img10081_D.jpg,926,638,RGB,JPEG
